HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,720-120,Rental Expenses
GL_RENTAL_EXPENSES,Rental Expenses,gl,account_code,IN,720-985,Rental Expenses
GL_SAND_EXPENSES,Sand Expenses,gl,account_code,IN,710-110,Sand Expenses
GL_SAND_EXPENSES,Sand Expenses,gl,account_code,IN,710-990,Sand Expenses
GL_WATER_EXPENSES,Water Expenses,gl,account_code,IN,710-150,Water Expenses
GL_WATER_EXPENSES,Water Expenses,gl,account_code,IN,710-994,Water Expenses
GL_SWD_EXPENSES,SWD Expenses,gl,account_code,IN,710-160,SWD Expenses
GL_SWD_EXPENSES,SWD Expenses,gl,account_code,IN,710-995,SWD Expenses
GL_FUEL_EXPENSES,Fuel Expenses,gl,account_code,IN,710-180,Fuel Expenses
GL_FUEL_EXPENSES,Fuel Expenses,gl,account_code,IN,710-997,Fuel Expenses
GL_BAD_DEBT_EXPENSE,Bad Debt Expense,gl,account_code,=,960-100,Bad Debt Expense
GL_OTHER_EXPENSES,Other Expenses,gl,account_code,=,965-200,Other Expenses
LOS_MAP_CNOP,CNOP,los_map,account_billing_category_code,ILIKE,%CC85%,CNOP
LOS_MAP_CNOP,CNOP,los_map,account_billing_category_code,ILIKE,%DC85%,CNOP
LOS_MAP_CNOP,CNOP,los_map,account_billing_category_code,ILIKE,FC85%,CNOP
LOS_MAP_CNOP,CNOP,los_map,account_billing_category_code,ILIKE,NICC%,CNOP
LOS_MAP_CNOP,CNOP,los_map,account_billing_category_code,ILIKE,NIDC%,CNOP
LOS_MAP_CACR,CACR,los_map,account_billing_category_code,ILIKE,%C990%,CACR
LOS_MAP_CFRC,CFRC,los_map,account_billing_category_code,IN,ICC,CFRC
LOS_MAP_CFRC,CFRC,los_map,account_billing_category_code,IN,TCC,CFRC
LOS_MAP_CDRL,CDRL,los_map,account_billing_category_code,IN,IDC,CDRL
LOS_MAP_CDRL,CDRL,los_map,account_billing_category_code,IN,TDC,CDRL
LOS_MAP_LBR,LBR,los_map,account_billing_category_code,ILIKE,LOE10%,LBR
LOS_MAP_LBR,LBR,los_map,account_billing_category_code,ILIKE,MOE10%,LBR
LOS_MAP_OHD,OHD,los_map,account_billing_category_code,ILIKE,LOE11%,OHD
LOS_MAP_OHD,OHD,los_map,account_billing_category_code,ILIKE,LOE320,OHD
LOS_MAP_SVC,SVC,los_map,account_billing_category_code,ILIKE,LOE140,SVC
LOS_MAP_SVC,SVC,los_map,account_billing_category_code,ILIKE,LOE160,SVC
LOS_MAP_CHM,CHM,los_map,account_billing_category_code,ILIKE,LOE24%,CHM
LOS_MAP_CHM,CHM,los_map,account_billing_category_code,ILIKE,LOE25%,CHM
LOS_MAP_SWD,SWD,los_map,account_billing_category_code,IN,LOE273,SWD
LOS_MAP_SWD,SWD,los_map,account_billing_category_code,IN,LOE274,SWD
LOS_MAP_SWD,SWD,los_map,account_billing_category_code,IN,LOE275,SWD
LOS_MAP_RNM,RNM,los_map,account_billing_category_code,IN,LOE295,RNM
LOS_MAP_RNM,RNM,los_map,account_billing_category_code,IN,LOE300,RNM
LOS_MAP_RNM,RNM,los_map,account_billing_category_code,IN,LOE301,RNM
LOS_MAP_CMP,CMP,los_map,account_billing_category_code,IN,MOE555,CMP
LOS_MAP_CMP,CMP,los_map,account_billing_category_code,IN,MOE556,CMP
LOS_MAP_COPAS,COPAS,los_map,account_billing_category_code,ILIKE,LOE6%,COPAS
LOS_MAP_SEV,SEV,los_map,account_billing_category_code,IN,LOE720,SEV
LOS_MAP_SEV,SEV,los_map,account_billing_category_code,IN,LOE721,SEV
LOS_MAP_ADV,ADV,los_map,account_billing_category_code,IN,LOE750,ADV
LOS_MAP_ADV,ADV,los_map,account_billing_category_code,IN,LOE751,ADV
LOS_MAP_ADV,ADV,los_map,account_billing_category_code,IN,NLOE750,ADV
LOS_MAP_NLOE,NLOE,los_map,account_billing_category_code,ILIKE,LOE850,NLOE
