XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,GROUP_FILTER_PRECEDENCE,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,REMOVE_FROM_TOTALS,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
122,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,18,Flowback & Testing,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedFlowback & Testing,,,Total Operating Expense,false,,,,,false
123,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,19,Fluids/Solids/Control/Water,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedFluids/Solids/Control/Water,,,Total Operating Expense,false,,,,,false
124,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,20,Fuel & Power,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedFuel & Power,,,Total Operating Expense,false,,,,,false
125,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,21,Gas Marketing,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedGas Mktg & Transportation Fee,,,Total Operating Expense,false,,,,,false
126,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,22,HSE,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedHSE & Regulatory Expense,,,Total Operating Expense,false,,,,,false
127,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,23,Inspection,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedInspection & Testing Services,,,Total Operating Expense,false,,,,,false
128,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,24,Insurance,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedInsurance-COW,,,Total Operating Expense,false,,,,,false
129,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,25,Landman,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedLandman/Broker Costs,,,Total Operating Expense,false,,,,,false
130,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,26,Legal Fees,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedLegal Fees & Title Costs,,,Total Operating Expense,false,,,,,false
131,Lease Operating Statement,1,Upstream,12,Operating Expense,30,Recurring,27,Line Pipe,1000,Operated,0,,0,,0,,0,,2,false,false,false,false,false,true,false,false,true,false,Operating Expense,Operating ExpenseRecurringOperatedLine Pipe,,,Total Operating Expense,false,,,,,false
